"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"CN2";"ARDUINO";1;"ARDUINO";;;
2;"CN1";"WR-SMA-PCB";1;"60312202114509";;;
3;"L1,L2,L3";"WE-CAIR_4248";3;"744912156";;;
4;"U1";"DRA818";1;"DRA818";;;
5;"U2";"TO-263-3Lead";1;"LT1085";;;
6;"U3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM4871";;;
7;"Q1,Q2,Q3";"SOT-23";3;"2N7002";;;
8;"SW2";"ALPS_EC11E";1;"ALPS_EC11E";;;
9;"CN4";"1501_03";1;"CON_KLINKE3";;;
10;"SW1";"WE_4312x6xxx7x6";1;"TAST_HOR";;;
11;"CN5";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
12;"CN6";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
13;"C15";"c_elec_8x10.5";1;"470u";;;
14;"C1,C4";"C_0603";2;"30p";;;
15;"C2,C3";"C_0603";2;"47p";;;
16;"C5,C7,C8,C10,C11,C12,C14,C16,C17,C18,C19,C20";"C_0603";12;"100n";;;
17;"C6,C9";"C_0805";2;"10u";;;
18;"C13";"C_0603";1;"1u";;;
19;"D1";"LED_0603";1;"Led_red";;;
20;"D2";"LED_0603";1;"Led_yellow";;;
21;"D3";"LED_0603";1;"Led_green";;;
22;"D4";"SOD-123";1;"BAT46ZFILM";;;
23;"R1,R6,R7,R8,R10,R14,R16,R24,R25,R26,R31";"R_0603";11;"1k";;;
24;"R3,R9,R11,R18,R22";"R_0603";5;"100";;;
25;"R4,R5,R28,R29,R30,R32";"R_0603";6;"DNI";;;
26;"R12,R13,R21,R27,R2,R33,R34";"R_0603";7;"4k7";;;
27;"R15";"R_0603";1;"121";;;
28;"R17";"R_0603";1;"300";;;
29;"R19,R20,R36";"R_0603";3;"20k";;;
30;"R23";"R_0603";1;"2k";;;
31;"S1";"dip_1-300";1;"SW_DIP_x1";;;
32;"U4,U5";"SOT-23-6";2;"SN74LVC1T45";;;
33;"CN3";"1503_07";1;"CON_KLINKE3";;;
34;"R35";"R_0603";1;"100k";;;
35;"CN7";"WR-TBL_691322310002";1;"691322310002";;;
